,ID,Nombre,Max_Channels,Enlace
129,417969,Halo: The Master Chief Collection,3400.0,https://twitchtracker.com/games/417969
130,904864974,Mortal Kombat 1,3300.0,https://twitchtracker.com/games/904864974
131,263490,Rust,3300.0,https://twitchtracker.com/games/263490
132,686119195,Armored Core VI: Fires of Rubicon,3200.0,https://twitchtracker.com/games/686119195
133,1910324696,High on Life,3200.0,https://twitchtracker.com/games/1910324696
134,1438678100,Madden NFL 24,3200.0,https://twitchtracker.com/games/1438678100
135,513319,NBA 2K20,3000.0,https://twitchtracker.com/games/513319
136,513143,Teamfight Tactics,3000.0,https://twitchtracker.com/games/513143
137,503446,Star Wars Jedi: Fallen Order,2900.0,https://twitchtracker.com/games/503446
138,980679052,Dead Space,2900.0,https://twitchtracker.com/games/980679052
139,1158884259,Splatoon 3,2900.0,https://twitchtracker.com/games/1158884259
140,23020,ROBLOX,2900.0,https://twitchtracker.com/games/23020
141,2009321156,Dark and Darker,2900.0,https://twitchtracker.com/games/2009321156
142,497078,Far Cry 5,2900.0,https://twitchtracker.com/games/497078
143,496712,Call of Duty: WWII,2800.0,https://twitchtracker.com/games/496712
144,495811,SCUM,2800.0,https://twitchtracker.com/games/495811
145,510150,Diablo Immortal,2700.0,https://twitchtracker.com/games/510150
146,512987,LEGO Star Wars: The Skywalker Saga,2700.0,https://twitchtracker.com/games/512987
147,518692,Far Cry 6,2700.0,https://twitchtracker.com/games/518692
148,273333352,Assassin's Creed Mirage,2700.0,https://twitchtracker.com/games/273333352
149,506412,Devil May Cry 5,2600.0,https://twitchtracker.com/games/506412
150,55453844,Street Fighter 6,2600.0,https://twitchtracker.com/games/55453844
151,516173984,Cult of the Lamb,2600.0,https://twitchtracker.com/games/516173984
152,2113043143,PAYDAY 3,2600.0,https://twitchtracker.com/games/2113043143
153,518379,Pokémon UNITE,2600.0,https://twitchtracker.com/games/518379
154,1441208453,Once Human,2600.0,https://twitchtracker.com/games/1441208453
155,1568081763,Mass Effect Legendary Edition,2600.0,https://twitchtracker.com/games/1568081763
156,512895,Watch Dogs: Legion,2600.0,https://twitchtracker.com/games/512895
157,489401,Call of Duty: Black Ops III,2500.0,https://twitchtracker.com/games/489401
158,538054672,TEKKEN 8,2500.0,https://twitchtracker.com/games/538054672
159,516086,Grounded,2500.0,https://twitchtracker.com/games/516086
160,499310,Splitgate,2500.0,https://twitchtracker.com/games/499310
161,838226069,The Callisto Protocol,2500.0,https://twitchtracker.com/games/838226069
162,495321,Marvel's Avengers,2500.0,https://twitchtracker.com/games/495321
163,1450386257,Wo Long: Fallen Dynasty,2400.0,https://twitchtracker.com/games/1450386257
164,505845,Realm Royale Reforged,2400.0,https://twitchtracker.com/games/505845
165,515195,Half-Life: Alyx,2400.0,https://twitchtracker.com/games/515195
166,506103,FIFA 19,2400.0,https://twitchtracker.com/games/506103
167,29595,Dota 2,2400.0,https://twitchtracker.com/games/29595
168,1924769596,Knockout City,2400.0,https://twitchtracker.com/games/1924769596
169,1910103699,THE FINALS,2300.0,https://twitchtracker.com/games/1910103699
170,1318043161,Tiny Tina's Wonderlands,2300.0,https://twitchtracker.com/games/1318043161
171,19554,iRacing,2300.0,https://twitchtracker.com/games/19554
172,138585,Hearthstone,2300.0,https://twitchtracker.com/games/138585
173,489297,Lords of the Fallen,2300.0,https://twitchtracker.com/games/489297
174,506407,Gears 5,2300.0,https://twitchtracker.com/games/506407
175,1707112873,NieR Replicant ver.1.22474487139...,2300.0,https://twitchtracker.com/games/1707112873
176,506383,NBA 2K19,2300.0,https://twitchtracker.com/games/506383
177,494364,Death Stranding,2200.0,https://twitchtracker.com/games/494364
178,518188,New Pokémon Snap,2200.0,https://twitchtracker.com/games/518188
179,584047654,Gundam Evolution,2200.0,https://twitchtracker.com/games/584047654
180,1397606945,Indiana Jones and the Great Circle,2200.0,https://twitchtracker.com/games/1397606945
181,510578,Mortal Kombat 11,2200.0,https://twitchtracker.com/games/510578
182,514194,Rogue Company,2200.0,https://twitchtracker.com/games/514194
183,511195,DRAGON BALL Z: KAKAROT,2100.0,https://twitchtracker.com/games/511195
184,518306,Hyper Scape,2100.0,https://twitchtracker.com/games/518306
185,2058570718,Silent Hill 2,2100.0,https://twitchtracker.com/games/2058570718
186,503932,Last Epoch,2100.0,https://twitchtracker.com/games/503932
187,394758168,Content Warning,2100.0,https://twitchtracker.com/games/394758168
188,1968997035,Persona 3 Reload,2100.0,https://twitchtracker.com/games/1968997035
189,510825,Atlas,2100.0,https://twitchtracker.com/games/510825
190,514207,The Dark Pictures Anthology: Little Hope,2100.0,https://twitchtracker.com/games/514207
191,1732431919,Sonic Frontiers,2100.0,https://twitchtracker.com/games/1732431919
192,490382,For Honor,2100.0,https://twitchtracker.com/games/490382
193,518004,Kena: Bridge of Spirits,2000.0,https://twitchtracker.com/games/518004
194,514790,Legends of Runeterra,2000.0,https://twitchtracker.com/games/514790
195,510580,The Outer Worlds,2000.0,https://twitchtracker.com/games/510580
196,421259832,Redfall,2000.0,https://twitchtracker.com/games/421259832
197,313558,Diablo III,2000.0,https://twitchtracker.com/games/313558
198,1160459167,MLB The Show 21,2000.0,https://twitchtracker.com/games/1160459167
199,519306,Gotham Knights,2000.0,https://twitchtracker.com/games/519306
200,517401,The Medium,2000.0,https://twitchtracker.com/games/517401
201,1995842324,Remnant II,1900.0,https://twitchtracker.com/games/1995842324
202,489776,Fallout 4,1900.0,https://twitchtracker.com/games/489776
203,497385,Dragon Ball FighterZ,1900.0,https://twitchtracker.com/games/497385
204,503233,Dragon Age: The Veilguard,1900.0,https://twitchtracker.com/games/503233
205,1879354110,The Game Awards,1900.0,https://twitchtracker.com/games/1879354110
206,513949,Little Nightmares II,1900.0,https://twitchtracker.com/games/513949
207,862021340,Madden NFL 23,1900.0,https://twitchtracker.com/games/862021340
208,497456,Days Gone,1900.0,https://twitchtracker.com/games/497456
209,212029556,Metroid Dread,1800.0,https://twitchtracker.com/games/212029556
210,495056,NBA 2K18,1800.0,https://twitchtracker.com/games/495056
211,504199,Battlefield V,1800.0,https://twitchtracker.com/games/504199
212,737987407,Enshrouded,1800.0,https://twitchtracker.com/games/737987407
213,497431,Skull and Bones,1800.0,https://twitchtracker.com/games/497431
214,490744,Stardew Valley,1800.0,https://twitchtracker.com/games/490744
215,493112,NBA 2K17,1800.0,https://twitchtracker.com/games/493112
216,1890315333,Counter-Strike 2 Limited Test,1800.0,https://twitchtracker.com/games/1890315333
217,498459,Jurassic World Evolution,1700.0,https://twitchtracker.com/games/498459
218,494081,Scorn,1700.0,https://twitchtracker.com/games/494081
219,518007,Marvel's Spider-Man: Miles Morales,1700.0,https://twitchtracker.com/games/518007
220,376617167,PAL,1700.0,https://twitchtracker.com/games/376617167
221,2106425216,Gray Zone Warfare,1700.0,https://twitchtracker.com/games/2106425216
222,114674,Madden NFL 25 (2013),1700.0,https://twitchtracker.com/games/114674
223,1808565595,The Casting of Frank Stone,1700.0,https://twitchtracker.com/games/1808565595
224,490374,Horizon Zero Dawn,1700.0,https://twitchtracker.com/games/490374
225,593597607,Teenage Mutant Ninja Turtles: Shredder's Revenge,1700.0,https://twitchtracker.com/games/593597607
226,518059,Star Wars: Squadrons,1600.0,https://twitchtracker.com/games/518059
227,262437666,Farming Simulator 25,1600.0,https://twitchtracker.com/games/262437666
228,66170,Warframe,1600.0,https://twitchtracker.com/games/66170
229,1937599489,The Quarry,1600.0,https://twitchtracker.com/games/1937599489
230,518016,Ratchet & Clank: Rift Apart,1600.0,https://twitchtracker.com/games/518016
231,1228709591,A Plague Tale: Requiem,1600.0,https://twitchtracker.com/games/1228709591
232,506237,"Pokémon: Let's Go, Pikachu!",1600.0,https://twitchtracker.com/games/506237
233,497410,Metro Exodus,1600.0,https://twitchtracker.com/games/497410
234,16937,Artifact,1600.0,https://twitchtracker.com/games/16937
235,1864374139,Nightingale,1600.0,https://twitchtracker.com/games/1864374139
236,497388,A Way Out,1600.0,https://twitchtracker.com/games/497388
237,517406,Madden NFL 21,1600.0,https://twitchtracker.com/games/517406
238,518186,Party Animals,1600.0,https://twitchtracker.com/games/518186
239,458912,Kingdom Come: Deliverance,1600.0,https://twitchtracker.com/games/458912
240,1074044196,Alan Wake II,1600.0,https://twitchtracker.com/games/1074044196
241,506104,Madden NFL 19,1600.0,https://twitchtracker.com/games/506104
242,518887,Phantasy Star Online 2 New Genesis,1600.0,https://twitchtracker.com/games/518887
243,2132205352,Deadlock,1600.0,https://twitchtracker.com/games/2132205352
244,495589,FIFA 18,1500.0,https://twitchtracker.com/games/495589
245,492546,Star Wars Battlefront II,1500.0,https://twitchtracker.com/games/492546
246,515605,BLUE PROTOCOL,1500.0,https://twitchtracker.com/games/515605
247,518203,Sports,1500.0,https://twitchtracker.com/games/518203
248,515482,Senua's Saga: Hellblade II,1500.0,https://twitchtracker.com/games/515482
249,1320984402,Madden NFL 25,1500.0,https://twitchtracker.com/games/1320984402
250,488518,Friday the 13th: The Game,1500.0,https://twitchtracker.com/games/488518
251,497412,Ori and the Will of the Wisps,1500.0,https://twitchtracker.com/games/497412
252,556907291,Cities: Skylines II,1500.0,https://twitchtracker.com/games/556907291
253,509660,Art,1500.0,https://twitchtracker.com/games/509660
